"cuenta";"descripcion";"cuentaesp"
"16";"Cuentas por cobrar diversas – terceros";""
"161";"Préstamos";""
"1611";"Con garantía";""
"1612";"Sin garantía";""
"162";"Reclamaciones a terceros";""
"1621";"Compañías aseguradoras";""
"1622";"Transportadoras";""
"1623";"Servicios públicos";""
"1624";"Tributos";""
"1629";"Otras";""
"163";"Intereses, regalías y dividendos";""
"1631";"Intereses";""
"1632";"Regalías";""
"1633";"Dividendos";""
"164";"Depósitos otorgados en garantía";""
"1641";"Préstamos de instituciones financieras";""
"1642";"Préstamos de instituciones no financieras";""
"1643";"Depósitos en garantía por alquileres";""
"1649";"Otros depósitos en garantía";""
"165";"Venta de activo inmovilizado";""
"1651";"Inversión mobiliaria";""
"1652";"Propiedades de inversión";""
"1653";"Propiedad, planta y equipo";""
"1654";"Intangibles";""
"1655";"Activos biológicos";""
"1659";"Otros activos inmovilizados";""
"166";"Activos por instrumentos financieros";""
"1661";"Instrumentos financieros primarios";""
"16611";"Costo";""
"16612";"Valor razonable";""
"1662";"Instrumentos financieros derivados";""
"16621";"Costo";""
"16622";"Valor razonable";""
"167";"Tributos por acreditar";""
"1671";"Pagos a cuenta del impuesto a la renta";""
"1672";"Pagos a cuenta de itan";""
"1673";"Igv por acreditar en compras";""
"1674";"Igv por acreditar no domiciliados";""
"1675";"Obras por impuestos";""
"169";"Otras cuentas por cobrar diversas";""
"1691";"Entregas a rendir cuenta a terceros";""
"1699";"Otras cuentas por cobrar diversas";""
"17";"Cuentas por cobrar diversas – relacionadas";""
"171";"Préstamos";""
"1711";"Con garantía";""
"1712";"Sin garantía";""
"173";"Intereses, regalías y dividendos";""
"1731";"Intereses";""
"1732";"Regalías";""
"1733";"Dividendos";""
"174";"Depósitos otorgados en garantía";""
"1741";"Préstamos de instituciones financieras";""
"1742";"Préstamos de instituciones no financieras";""
"1743";"Depósitos en garantía por alquileres";""
"1749";"Otros depósitos en garantía";""
"175";"Venta de activo inmovilizado";""
"1751";"Inversión mobiliaria";""
"1752";"Propiedades de inversión";""
"1753";"Propiedad, planta y equipo";""
"1754";"Intangibles";""
"1755";"Activos biológicos";""
"1759";"Otros activos inmovilizados";""
"176";"Activos por instrumentos financieros";""
"1761";"Instrumentos financieros primarios";""
"17611";"Costo";""
"17612";"Valor razonable";""
"1762";"Instrumentos financieros derivados";""
"17621";"Costo";""
"17622";"Valor razonable";""
"179";"Otras cuentas por cobrar diversas";""
"18";"Servicios y otros contratados por anticipado";""
"181";"Costos financieros";""
"182";"Seguros";""
"183";"Alquileres";""
"184";"Primas pagadas por opciones";""
"185";"Mantenimiento de activos inmovilizados";""
"189";"Otros gastos contratados por anticipado";""
"19";"EstimaciÓn de cuentas de cobranza dudosa";""
"191";"Cuentas por cobrar comerciales – terceros";""
"1911";"Facturas, boletas y otros comprobantes por cobrar";""
"1913";"Letras por cobrar";""
"192";"Cuentas por cobrar comerciales – relacionadas";""
"1921";"Facturas, boletas y otros comprobantes por cobrar";""
"1923";"Letras por cobrar";""
"193";"Cuentas por cobrar al personal, a los accionistas (socios) y directores";""
"1931";"Personal";""
"1932";"Accionistas (o socios)";""
"1933";"Directores";""
"1939";"Diversas";""
"194";"Cuentas por cobrar diversas – terceros";""
"1941";"Préstamos";""
"1942";"Reclamaciones a terceros";""
"1943";"Intereses, regalías y dividendos";""
"1944";"Depósitos otorgados en garantía";""
"1945";"Venta de activo inmovilizado";""
"1946";"Activos por instrumentos financieros";""
"1949";"Otras cuentas por cobrar diversas";""
"195";"Cuentas por cobrar diversas – relacionadas";""
"1951";"Préstamos";""
"1953";"Intereses, regalías y dividendos";""
"1954";"Depósitos otorgados en garantía";""
"1955";"Venta de activo inmovilizado";""
"1956";"Activos por instrumentos financieros";""
"1959";"Otras cuentas por cobrar diversas";""
"2";"Activo realizable";""
"20";"MercaderÍas";""
"201";"Mercaderías";""
"2011";"Mercaderías";""
"20111";"Costo";""
"20114";"Valor razonable";""
"21";"Productos terminados";""
"211";"Productos terminados";""
"2111";"Productos terminados";""
"21111";"Costo";""
"21113";"Costo de financiación";""
"21114";"Valor razonable";""
"215";"Inventario de servicios terminados";""
"2151";"Servicios terminados";""
"21511";"Costo";""
"22";"Subproductos, desechos y desperdicios";""
"221";"Subproductos";""
"222";"Desechos y desperdicios";""
"23";"Productos en proceso";""
"231";"Productos en proceso";""
"2311";"Productos en proceso";""
"23111";"Costo";""
"23113";"Costo de financiación";""
"235";"Inventario de servicios en proceso";""
"2351";"Servicios en proceso";""
"23511";"Costo";""
"24";"Materias primas";""
"241";"Materias primas";""
"2411";"Materias primas";""
"24111";"Costo";""
"24114";"Valor razonable";""
"25";"Materiales auxiliares, suministros y repuestos";""
"251";"Materiales auxiliares";""
"252";"Suministros";""
"2521";"Combustibles";""
"2522";"Lubricantes";""
"2523";"Energía";""
"2524";"Otros suministros";""
"253";"Repuestos";""
"26";"Envases y embalajes";""
"261";"Envases";""
"262";"Embalajes";""
"27";"Activos no corrientes mantenidos para la venta";""
"271";"Propiedades de inversión";""
"2711";"Terrenos";""
"27111";"Costo";""
"27112";"Revaluación";""
"27114";"Valor razonable";""
"2712";"Edificaciones";""
"27121";"Costo";""
"27122";"Revaluación";""
"27123";"Costos de financiación";""
"27124";"Valor razonable";""
"272";"Propiedad, planta y equipo";""
"2720";"Planta productora en producción";""
"27201";"Costo";""
"27202";"Revaluación";""
"27203";"Costo de financiación";""
"27204";"Valor razonable";""
"2721";"Planta productora en desarrollo";""
"27211";"Costo";""
"27212";"Revaluación";""
"27213";"Costo de financiación";""
"27214";"Valor razonable";""
"2722";"Terrenos";""
"27221";"Costo";""
"27222";"Revaluación";""
"2723";"Edificaciones";""
"27231";"Costo";""
"27232";"Revaluación";""
"27233";"Costo de financiación";""
"2724";"Maquinarias y equipos de explotación";""
"27241";"Costo";""
"27242";"Revaluación";""
"27233";"Costo de financiación";""
"2725";"Unidades de transporte";""
"27251";"Costo";""
"27252";"Revaluación";""
"2726";"Muebles y enseres";""
"27261";"Costo";""
"27262";"Revaluación";""
"2727";"Equipos diversos";""
"27271";"Costo";""
"27272";"Revaluación";""
"2728";"Herramientas y unidades de reemplazo";""
"27281";"Costo";""
"27282";"Revaluación";""
"2729";"Obras en curso";""
"27291";"Costo";""
"27292";"Revaluación";""
"273";"Intangibles";""
"2731";"Concesiones, licencias y derechos";""
"27311";"Costo";""
"27312";"Revaluación";""
"2732";"Patentes y propiedad industrial";""
"27321";"Costo";""
"27322";"Revaluación";""
"2733";"Programas de computadora (software)";""
"27331";"Costo";""
"27332";"Revaluación";""
"2734";"Costos de exploración y desarrollo";""
"27341";"Costo";""
"27342";"Revaluación";""
"2735";"Fórmulas, diseños y prototipos";""
"27351";"Costo";""
"27352";"Revaluación";""
"2739";"Otros activos intangibles";""
"27391";"Costo";""
"27392";"Revaluación";""
"274";"Activos biológicos";""
"2741";"Activos biológicos en producción";""
"27411";"Costo";""
"27413";"Costos de financiación";""
"27414";"Valor razonable";""
"2742";"Activos biológicos en desarrollo";""
"27421";"Costo";""
"27423";"Costos de financiación";""
"27424";"Valor razonable";""
"275";"Depreciación acumulada – propiedades de inversión";""
"2752";"Edificaciones";""
"27521";"Costo";""
"27522";"Revaluación";""
"27523";"Costo de financiación";""
"276";"Depreciación acumulada – propiedad, planta y equipo";""
"2760";"Planta productora en producción";""
"27601";"Costo";""
"27602";"Revaluación";""
"27603";"Costo de financiación";""
"27604";"Valor razonable";""
"2762";"Edificaciones";""
"27621";"Costo";""
"27622";"Revaluación";""
"27623";"Costo de financiación";""
"2763";"Maquinarias y equipo de explotación";""
"27631";"Costo";""
"27632";"Revaluación";""
"27633";"Costo de financiación";""
"2764";"Unidades de transporte";""
"27641";"Costo";""
"27642";"Revaluación";""
"2765";"Muebles y enseres";""
"27651";"Costo";""
"27652";"Revaluación";""
"2766";"Equipos diversos";""
"27661";"Costo";""
"27662";"Revaluación";""
"2767";"Herramientas y unidades de reemplazo";""
"27671";"Costo";""
"27672";"Revaluación";""
"277";"Amortización acumulada – intangibles";""
"2771";"Concesiones, licencias y derechos";""
"27711";"Costo";""
"27712";"Revaluación";""
"2772";"Patentes y propiedad industrial";""
"27721";"Costo";""
"27722";"Revaluación";""
"2773";"Programas de computadora (software)";""
"27731";"Costo";""
"27732";"Revaluación";""
"2774";"Costos de exploración y desarrollo";""
"27741";"Costo";""
"27742";"Revaluación";""
"2775";"Fórmulas, diseños y prototipos";""
"27751";"Costo";""
"27752";"Revaluación";""
"2779";"Otros activos intangibles";""
"27791";"Costo";""
"27792";"Revaluación";""
"278";"Depreciación acumulada – activos biológicos";""
"2781";"Activos biológicos en producción";""
"27811";"Costo";""
"27813";"Costo de financiación";""
"2782";"Activos biológicos en desarrollo";""
"27821";"Costo";""
"27823";"Costo de financiación";""
"279";"Desvalorización acumulada";""
"2791";"Propiedad de inversión";""
"27910";"Planta productora en producción";""
"27911";"Planta productora en desarrollo";""
"27912";"Terrenos";""
"27913";"Edificaciones";""
"2793";"Propiedad, planta y equipo";""
"27930";"Plantas productoras en producción";""
"27931";"Planta productora en desarrollo";""
"27932";"Terrenos";""
"27933";"Edificaciones";""
"27934";"Maquinarias y equipos de explotación";""
"27935";"Unidades de transporte";""
"27936";"Muebles y enseres";""
"27937";"Equipos diversos";""
"27938";"Herramientas y unidades de reemplazo";""
"2794";"Intangibles";""
"27941";"Concesiones, licencias y otros derechos";""
"27942";"Patentes y propiedad industrial";""
"27943";"Programas de computadora (software)";""
"27944";"Costos de exploración y desarrollo";""
"27945";"Fórmulas, diseños y prototipos";""
"27949";"Otros activos intangibles";""
"2795";"Activos biológicos";""
"27951";"Activos biológicos en producción";""
"27952";"Activos biológicos en desarrollo";""
"28";"Inventarios por recibir";""
"281";"Mercaderías";""
"284";"Materias primas";""
"285";"Materiales auxiliares, suministros y repuestos";""
"286";"Envases y embalajes";""
"29";"DesvalorizaciÓn de inventarios";""
"291";"Mercaderías";""
"2911";"Mercaderías";""
"29111";"Costo";""
"292";"Productos terminados";""
"2921";"Productos terminados";""
"29211";"Costo";""
"29213";"Costo de financiación";""
"2925";"Inventario de servicios terminados";""
"29251";"Costo";""
"293";"Subproductos, desechos y desperdicios";""
"2931";"Subproductos";""
"2932";"Desechos y desperdicios";""
"294";"Productos en proceso";""
"2941";"Productos en proceso";""
"29411";"Costo";""
"29413";"Costo de financiación";""
"2945";"Inventario de servicios en proceso";""
"295";"Materias primas";""
"2951";"Materias primas";""
"29511";"Costo";""
"296";"Materiales auxiliares, suministros y repuestos";""
"2961";"Materiales auxiliares";""
"2962";"Suministros";""
"2963";"Repuestos";""
"297";"Envases y embalajes";""
"2971";"Envases";""
"2972";"Embalajes";""
"298";"Existencias por recibir";""
"2981";"Mercaderías";""
"2982";"Materias primas";""
"2983";"Materiales auxiliares, suministros y repuestos";""
"2984";"Envases y embalajes";""
"3";"Activo inmovilizado";""
"30";"Inversiones mobiliarias";""
"301";"Inversiones a ser mantenidas hasta el vencimiento";""
"3011";"Instrumentos financieros representativos de deuda";""
"30221";"Costo";""
"30224";"Valor razonable";""
"302";"Instrumentos financieros representativos de derecho patrimonial";""
"3021";"Certificados de suscripción preferente";""
"3022";"Acciones representativas de capital social – comunes";""
"30221";"Costo";""
"30224";"Valor razonable";""
"30225";"Participación patrimonial";""
"3023";"Acciones representativas de capital social – preferentes";""
"30231";"Costo";""
"30234";"Valor razonable";""
"30235";"Participación patrimonial";""
"3024";"Acciones de inversión";""
"30241";"Costo";""
"30244";"Valor razonable";""
"30245";"Participación patrimonial";""
"3028";"Otros títulos representativos de patrimonio";""
"30281";"Costo";""
"30284";"Valor razonable";""
"30285";"Participación patrimonial";""
"303";"Certificados de participación en fondos - cuotas";""
"3031";"Fondos de inversión";""
"30311";"Costo";""
"30314";"Valor razonable";""
"3032";"Fondos mutuos";""
"30321";"Costo";""
"30324";"Valor razonable";""
"304";"Participaciones en acuerdos conjuntos";""
"3041";"Operaciones conjuntas";""
"30411";"Costo";""
"30414";"Valor razonable";""
"30415";"Participación patrimonial";""
"3042";"Negocios conjuntos";""
"30421";"Costo";""
"30424";"Valor razonable";""
"30425";"Participación patrimonial";""
"308";"Inversiones mobiliarias – acuerdos de compra";""
"3081";"Instrumentos financieros representativos de deuda – acuerdo de compra";""
"30811";"Costo";""
"30814";"Valor razonable";""
"3082";"Instrumentos financieros representativos de derecho patrimonial –";""
"";"Acuerdo de compra";""
"30821";"Costo";""
"30824";"Valor razonable";""
"31";"Propiedades de inversiÓn";""
"311";"Terrenos";""
"3111";"Urbanos";""
"31111";"Costo";""
"31112";"Revaluación";""
"31114";"Valor razonable";""
"3112";"Rurales";""
"31121";"Costo";""
"31122";"Revaluación";""
"31124";"Valor razonable";""
"312";"Edificaciones";""
"3121";"Edificaciones";""
"31211";"Costo";""
"31212";"Revaluación";""
"31213";"Costos de financiación";""
"31214";"Valor razonable";""
"313";"Construcciones en curso";""
"3131";"Edificaciones";""
"31311";"Costo";""
"31312";"Revaluación";""
"31313";"Costos de financiación";""
"31314";"Valor razonable";""
"32";"Activos por derecho de uso";""
"321";"Propiedades de inversión - arrendamiento financiero";""
"3211";"Terrenos";""
"32111";"Costo";""
"32112";"Revaluación";""
"32114";"Valor razonable";""
"3212";"Edificaciones";""
"32121";"Costo";""
"32122";"Revaluación";""
"32123";"Costo de financiación";""
"32124";"Valor razonable";""
"322";"Propiedad, planta y equipo - arrendamiento financiero";""
"3220";"Planta productora en producción";""
"32201";"Costo";""
"32202";"Revaluación";""
"32203";"Costo de financiación";""
"3221";"Planta productora en desarrollo";""
"32211";"Costo";""
"32212";"Revaluación";""
"32213";"Costo de financiación";""
"3222";"Terrenos";""
"32221";"Costo";""
"32222";"Revaluación";""
"3223";"Edificaciones";""
"32231";"Costo";""
"32232";"Revaluación";""
"32233";"Costo de financiación";""
"3224";"Maquinaria y equipo de explotación";""
"32241";"Costo";""
"32242";"Revaluación";""
"32243";"Costo de financiación";""
"3225";"Unidades de transporte";""
"32251";"Costo";""
"32252";"Revaluación";""
"3226";"Muebles y enseres";""
"32261";"Costo";""
"32262";"Revaluación";""
"3227";"Equipos diversos";""
"32271";"Costo";""
"32272";"Revaluación";""
"3228";"Herramientas y unidades de reemplazo";""
"32281";"Costo";""
"32282";"Revaluación";""
"323";"Propiedad, planta y equipo - arrendamiento operativo";""
"3230";"Planta productora en producción";""
"32301";"Costo";""
"32302";"Revaluación";""
"3232";"Terrenos";""
"32321";"Costo";""
"3233";"Edificaciones";""
"32331";"Costo";""
"32332";"Revaluación";""
"3234";"Maquinaria y equipo de explotación";""
"32341";"Costo";""
"32342";"Revaluación";""
"3235";"Unidades de transporte";""
"32351";"Costo";""
"32352";"Revaluación";""
"3236";"Equipos diversos";""
"32361";"Costo";""
"32362";"Revaluación";""
"33";"Propiedad, planta y equipo";""
"330";"Planta productora";""
"3301";"Planta productora en producción";""
"33011";"Costo";""
"33012";"Revaluación";""
"33013";"Costo de financiación";""
"33014";"Valor razonable";""
"3302";"Planta productora en desarrollo";""
"33021";"Costo";""
"33022";"Revaluación";""
"33023";"Costo de financiación";""
"33024";"Valor razonable";""
"331";"Terrenos";""
"3311";"Terrenos";""
"33111";"Costo";""
"33112";"Revaluación";""
"332";"Edificaciones";""
"3321";"Edificaciones";""
"33211";"Costo";""
"33212";"Revaluación";""
"33213";"Costo de financiación";""
"3324";"Instalaciones";""
"33241";"Costo";""
"33242";"Revaluación";""
"33243";"Costo de financiación";""
"3325";"Mejoras en locales arrendados.";""
"33251";"Costo";""
"33252";"Revaluación";""
"33253";"Costo de financiación";""
"333";"Maquinaria y equipo de explotación";""
"3331";"Maquinaria y equipo de explotación";""
"33311";"Costo";""
"33312";"Revaluación";""
"33313";"Costo de financiación";""
"334";"Unidades de transporte";""
"3341";"Vehículos motorizados";""
"33411";"Costo";""
"33412";"Revaluación";""
"3342";"Vehículos no motorizados";""
"33421";"Costo";""
"33422";"Revaluación";""
"335";"Muebles y enseres";""
"3351";"Muebles";""
"33511";"Costo";""
"33512";"Revaluación";""
"3352";"Enseres";""
"33521";"Costo";""
"33522";"Revaluación";""
"336";"Equipos diversos";""
"3361";"Equipo para procesamiento de información";""
"33611";"Costo";""
"33612";"Revaluación";""
"3362";"Equipo de comunicación";""
"33621";"Costo";""
"33622";"Revaluación";""
"3363";"Equipo de seguridad";""
"33631";"Costo";""
"33632";"Revaluación";""
"3364";"Equipo de medio ambiente";""
"33641";"Costo";""
"33642";"Revaluación";""
"3369";"Otros equipos";""
"33691";"Costo";""
"33692";"Revaluación";""
"337";"Herramientas y unidades de reemplazo";""
"3371";"Herramientas";""
"33711";"Costo";""
"33712";"Revaluación";""
"3372";"Unidades de reemplazo";""
"33721";"Costo";""
"33722";"Revaluación";""
"338";"Unidades por recibir";""
"3381";"Maquinaria y equipo de explotación";""
"3382";"Equipo de transporte";""
"3383";"Muebles y enseres";""
"3386";"Equipos diversos";""
"3387";"Herramientas y unidades de reemplazo";""
"339";"Obras en curso";""
"3391";"Adecuación de terrenos";""
"3392";"Edificaciones en curso";""
"33921";"Costo";""
"33922";"Costo de financiación";""
"3393";"Maquinaria en montaje";""
"33931";"Costo";""
"33932";"Costo de financiación";""
"34";"Intangibles";""
"341";"Concesiones, licencias y otros derechos";""
"3411";"Derechos por concesiones";""
"34111";"Costo";""
"34112";"Revaluación";""
"3412";"Licencias";""
"34121";"Costo";""
"34122";"Revaluación";""
"3419";"Otros derechos";""
"34191";"Costo";""
"34192";"Revaluación";""
"342";"Patentes y propiedad industrial";""
"3421";"Patentes";""
"34211";"Costo";""
"34212";"Revaluación";""
"3422";"Marcas";""
"34221";"Costo";""
"34222";"Revaluación";""
"343";"Programas de computadora (software)";""
"3431";"Aplicaciones informáticas";""
"34311";"Costo";""
"34312";"Revaluación";""
"344";"Costos de exploración y desarrollo";""
"3441";"Costos de exploración";""
"34411";"Costo";""
"34412";"Revaluación";""
"34413";"Costo de financiación";""
"3442";"Costos de desarrollo";""
"34421";"Costo";""
"34422";"Revaluación";""
"34423";"Costo de financiación";""
"345";"Fórmulas, diseños y prototipos";""
"3451";"Fórmulas";""
"34511";"Costo";""
"34512";"Revaluación";""
"3452";"Diseños y prototipos";""
"34521";"Costo";""
"34522";"Revaluación";""
"347";"Plusvalía mercantil";""
"3471";"Plusvalía mercantil";""
"349";"Otros activos intangibles";""
"3491";"Otros activos intangibles";""
"34911";"Costo";""
"34912";"Revaluación";""
"35";"Activos biolÓgicos";""
"351";"Activos biológicos en producción";""
"3511";"De origen animal";""
"35111";"Costo";""
"35113";"Costo de financiación";""
"35114";"Valor razonable";""
"3512";"De origen vegetal";""
"35121";"Costo";""
"35123";"Costo de financiación";""
"35124";"Valor razonable";""
"352";"Activos biológicos en desarrollo";""
"3521";"De origen animal";""
"35211";"Costo";""
"35213";"Costo de financiación";""
"35214";"Valor razonable";""
"3522";"De origen vegetal";""
"35221";"Costo";""
"35223";"Costo de financiación";""
"35224";"Valor razonable";""
"36";"DesvalorizaciÓn de activo inmovilizado";""
"361";"Desvalorización de propiedades de inversión";""
"3611";"Terrenos";""
"36111";"Costo";""
"36112";"Revaluación";""
"3612";"Edificaciones";""
"36121";"Costo";""
"36122";"Revaluación";""
"36123";"Costo de financiación";""
"3613";"Construcciones en curso - edificaciones";""
"36131";"Costo";""
"36132";"Revaluación";""
"36133";"Costo de financiación";""
"362";"Desvalorización de propiedades de inversión - arrendamiento financiero";""
"3621";"Terrenos";""
"36211";"Costo";""
"36212";"Revaluación";""
"3622";"Edificaciones";""
"36221";"Costo";""
"36222";"Revaluación";""
"36223";"Costo de financiación";""
"363";"Desvalorización de propiedad, planta y equipo - arrendamiento financiero";""
"3631";"Terrenos";""
"36311";"Costo";""
"36312";"Revaluación";""
"3632";"Edificaciones";""
"36321";"Costo";""
"36322";"Revaluación";""
"36323";"Costo de financiación";""
"3633";"Maquinaria y equipo de explotación";""
"36331";"Costo";""
"36332";"Revaluación";""
"36333";"Costo de financiación";""
"3634";"Unidades de transporte";""
"36341";"Costo";""
"36342";"Revaluación";""
"3635";"Muebles y enseres";""
"36351";"Costo";""
"36352";"Revaluación";""
"3636";"Equipos diversos";""
"36361";"Costo";""
"36362";"Revaluación";""
"364";"Desvalorización de propiedad, planta y equipo";""
"3640";"Planta productora en producción";""
"36401";"Costo";""
"36402";"Planta productora en producción - revaluación";""
"36403";"Planta productora en producción - costo de financiación";""
"33404";"Planta productora en producción - valor razonable";""
"36405";"Planta productora en desarrollo - costo";""
"36406";"Planta productora en desarrollo - revaluación";""
"36407";"Planta productora en desarrollo - costo de financiación";""
"36408";"Planta productora en desarrollo - valor razonable";""
"3641";"Terrenos";""
"36411";"Costo";""
"36412";"Revaluación";""
"3642";"Edificaciones";""
"36421";"Edificaciones - costo";""
"36422";"Edificaciones - revaluación";""
"36423";"Edificaciones - costo de financiación";""
"36424";"Instalaciones - costo";""
"36425";"Instalaciones - revaluación";""
"36426";"Instalaciones - costo de financiación";""
"36427";"Mejoras en locales arrendados - costo";""
"36428";"Mejoras en locales arrendados - revaluación";""
"36429";"Mejoras en locales arrendados - costo de financiación";""
"3643";"Maquinaria y equipo de explotación";""
"36431";"Costo";""
"36432";"Revaluación";""
"36433";"Costo de financiación";""
"3644";"Unidades de transporte";""
"36441";"Costo";""
"36442";"Revaluación";""
"3645";"Muebles y enseres";""
"36451";"Costo";""
"36452";"Revaluación";""
"3646";"Equipos diversos";""
"36461";"Costo";""
"36462";"Revaluación";""
"3647";"Herramientas y unidades de reemplazo";""
"36471";"Herramientas - costo";""
"38472";"Herramientas - revaluación";""
"38473";"Unidades de reemplazo - costo";""
"38474";"Unidades de reemplazo - revaluación";""
"3649";"Obras en curso";""
"36491";"Costo";""
"36492";"Revaluación";""
"365";"Desvalorización de intangibles";""
"3651";"Concesiones, licencias y otros derechos";""
"36511";"Costo";""
"36512";"Revaluación";""
"3652";"Patentes y propiedad industrial";""
"36521";"Costo";""
"36522";"Revaluación";""
"3653";"Programas de computadora (software)";""
"36531";"Costo";""
"36532";"Revaluación";""
"3654";"Costos de exploración y desarrollo";""
"36541";"Costo";""
"36542";"Revaluación";""
"36543";"Costo de financiación";""
"3655";"Fórmulas, diseños y prototipos";""
"36551";"Costo";""
"36552";"Revaluación";""
"3657";"Plusvalía mercantil";""
"3659";"Otros activos intangibles";""
"36591";"Costo";""
"36592";"Revaluación";""
"366";"Desvalorización de activos biológicos";""
"3661";"Activos biológicos en producción";""
"36611";"Costo";""
"36613";"Costo de financiación";""
"3662";"Activos biológicos en desarrollo";""
"36621";"Costo";""
"36622";"Costo de financiación";""
"367";"Desvalorización de inversiones mobiliarias";""
"3671";"Inversiones a ser mantenidas hasta el vencimiento";""
"36711";"Costo";""
"3672";"Inversiones financieras representativas de derecho patrimonial";""
"36721";"Costo";""
"3673";"Otras inversiones financieras";""
"36731";"Costo";""
"37";"Activo diferido";""
"371";"Impuesto a la renta diferido";""
"3711";"Impuesto a la renta diferido – patrimonio";""
"3712";"Impuesto a la renta diferido – resultados";""
"372";"Participaciones de los trabajadores diferidas";""
"3721";"Participaciones de los trabajadores diferidas – patrimonio";""
"3722";"Participaciones de los trabajadores diferidas – resultados";""
"373";"Intereses diferidos";""
"3731";"Intereses no devengados en transacciones con terceros";""
"3732";"Intereses no devengados en medición a valor descontado";""
"38";"Otros activos";""
"381";"Bienes de arte y cultura";""
"3811";"Obras de arte";""
"3812";"Biblioteca";""
"3813";"Otros";""
"382";"Diversos";""
"3821";"Monedas y joyas";""
"3822";"Bienes entregados en comodato";""
"3823";"Bienes recibidos en pago (adjudicados y realizables)";""
"3829";"Otros";""
"39";"DepreciaciÓn y amortizaciÓn acumulados";""
"391";"Depreciación acumulada propiedades de inversión";""
"3911";"Edificaciones";""
"39111";"Costo";""
"39112";"Revaluación";""
"39113";"Costo de financiación";""
"392";"Depreciación acumulada propiedades de inversión - arrendamiento financiero";""
"3921";"Edificaciones";""
"39211";"Costo";""
"39212";"Revaluación";""
"39213";"Costo de financiación";""
"393";"Depreciación acumulada propiedad, planta y equipo - arrendamiento financiero";""
"3932";"Edificaciones";""
"39321";"Costo";""
"39322";"Revaluación";""
"39323";"Costo de financiación";""
"3933";"Maquinarias y equipos de explotación";""
"39331";"Costo";""
"39332";"Revaluación";""
"39333";"Costo de financiación";""
"3934";"Unidades de transporte";""
"39341";"Costo";""
"39342";"Revaluación";""
"3935";"Muebles y enseres";""
"39351";"Costo";""
"38352";"Revaluación";""
"3936";"Equipos diversos";""
"39361";"Costo";""
"39362";"Revaluación";""
"394";"Depreciación acumulada - arrendamiento operativo";""
"3941";"Activos por derecho de uso - arrendamiento operativo";""
"39410";"Plantas productoras";""
"39411";"Terrenos";""
"39412";"Edificaciones";""
"39413";"Maquinarias y equipos de explotación";""
"39414";"Unidades de transporte";""
"39415";"Equipos diversos";""
"395";"Depreciación acumulada de propiedad, planta y equipo";""
