desccuenta;codcuenta;codbalance;id
"";6653;PG-A-13-b-;118
"";6652;PG-A-13-b-;119
"";6651;PG-A-13-a-;120
"";6650;PG-A-13-a-;121
"";6643;PG-A-13-b-;122
"";6642;PG-A-13-b-;123
"";6641;PG-A-13-a-;124
"";6640;PG-A-13-a-;125
"";6633;PG-A-14-a-;126
"";6632;PG-A-14-b-;127
"";6631;PG-A-14-a-;128
"";6630;PG-A-14-a-;129
"";6624;PG-A-13-b-;130
"";6623;PG-A-13-b-;131
"";6622;PG-A-13-b-;132
"";6621;PG-A-13-a-;133
"";6620;PG-A-13-a-;134
"";6618;PG-A-13-b-;135
"";6617;PG-A-13-b-;136
"";6616;PG-A-13-a-;137
"";6615;PG-A-13-a-;138
"";6613;PG-A-13-b-;139
"";6612;PG-A-13-b-;140
"";6611;PG-A-13-a-;141
"";6610;PG-A-13-a-;142
"";660;PG-A-13-c-;143
"";659;PG-A-7-d-;144
"";651;PG-A-7-d-;145
"";650;PG-A-7-c-;146
"";649;PG-A-6-b-;147
"";6457;PG-A-6-c-;148
"";6450;PG-A-6-a-;149
"";644;PG-A-6-c-;150
"";643;PG-A-6-b-;151
"";642;PG-A-6-b-;152
"";641;PG-A-6-a-;153
"";640;PG-A-6-a-;154
"";639;PG-A-7-b-;155
"";638;PG-A-17--;156
"";636;PG-A-7-b-;157
"";634;PG-A-7-b-;158
"";633;PG-A-17--;159
"";631;PG-A-7-b-;160
"";6301;PG-A-17--;161
"";6300;PG-A-17--;162
"";62;PG-A-7-a-;163
"";612;PG-A-4-b-;164
"";611;PG-A-4-b-;165
"";610;PG-A-4-a-;166
"";6092;PG-A-4-b-;167
"";6091;PG-A-4-b-;168
"";6090;PG-A-4-a-;169
"";6082;PG-A-4-b-;170
"";6081;PG-A-4-b-;171
"";6080;PG-A-4-a-;172
"";607;PG-A-4-c-;173
"";6062;PG-A-4-b-;174
"";6061;PG-A-4-b-;175
"";6060;PG-A-4-a-;176
"";602;PG-A-4-b-;177
"";601;PG-A-4-b-;178
"";600;PG-A-4-a-;179
"";599;A-B--I-;180
"";598;A-B--V-2;181
"";597;A-B--V-3;182
"";5955;A-B--V-2;183
"";5954;A-B--IV-2;184
"";5953;A-B--IV-2;185
"";5945;A-B--V-3;186
"";5944;A-B--IV-3;187
"";5943;A-B--IV-3;188
"";593;A-B--IV-1;189
"";589;P-C--I-;190
"";588;P-C--I-;191
"";587;P-C--I-;192
"";586;P-C--I-;193
"";585;P-C--I-;194
"";584;A-B--I-;195
"";583;A-B--I-;196
"";582;A-B--I-;197
"";581;A-B--I-;198
"";580;A-B--I-;199
"";576;A-B--VII-2;200
"";575;A-B--VII-1;201
"";574;A-B--VII-1;202
"";573;A-B--VII-1;203
"";572;A-B--VII-1;204
"";571;A-B--VII-1;205
"";570;A-B--VII-1;206
"";569;P-C--III-5;207
"";568;P-C--VI-;208
"";567;A-B--VI-;209
"";566;A-B--V-5;210
"";565;A-B--V-5;211
"";561;P-C--III-5;212
"";560;P-C--III-5;213
"";5598;P-C--III-4;214
"";5595;P-C--III-4;215
"";5593;A-B--V-4;216
"";5590;A-B--V-4;217
"";5585;A-B--III-7;218
"";5580;A-B--III-7;219
"";557;P-A-1-VIII-;220
"";5566;P-C--III-5;221
"";5565;P-C--III-5;222
"";5564;P-C--IV-;223
"";5563;P-C--IV-;224
"";555;P-C--III-5;225
"";5533;A-B--III-3;226
"";5532;P-C--III-5;227
"";5531;A-B--III-3;228
"";5530;P-C--III-5;229
"";5525;P-C--III-5;230
"";5524;A-B--IV-5;231
"";5523;A-B--IV-5;232
"";551;P-C--III-5;233
"";550;A-B--V-5;234
"";549;A-B--V-1;235
"";548;A-B--V-5;236
"";547;A-B--V-2;237
"";546;A-B--V-3;238
"";545;A-B--V-5;239
"";544;A-B--III-4;240
"";543;A-B--V-2;241
"";542;A-B--V-2;242
"";541;A-B--V-3;243
"";540;A-B--V-1;244
"";5395;A-B--V-1;245
"";5394;A-B--IV-1;246
"";5393;A-B--IV-1;247
"";5355;A-B--V-5;248
"";5354;A-B--IV-5;249
"";5353;A-B--IV-5;250
"";5345;A-B--V-2;251
"";5344;A-B--IV-2;252
"";5343;A-B--IV-2;253
"";5335;A-B--V-3;254
"";5334;A-B--IV-3;255
"";5333;A-B--IV-3;256
"";5325;A-B--V-2;257
"";5324;A-B--IV-2;258
"";5323;A-B--IV-2;259
"";5315;A-B--V-3;260
"";5314;A-B--IV-3;261
"";5313;A-B--IV-3;262
"";5305;A-B--V-1;263
"";5304;A-B--IV-1;264
"";5303;A-B--IV-1;265
"";529;P-C--II-;266
"";528;P-C--III-5;267
"";527;P-C--III-2;268
"";526;P-C--III-5;269
"";525;P-C--III-5;270
"";524;P-C--III-3;271
"";523;P-C--III-5;272
"";522;P-C--III-5;273
"";521;P-C--III-5;274
"";520;P-C--III-2;275
"";5145;P-C--III-5;276
"";5144;P-C--IV-;277
"";5143;P-C--IV-;278
"";5135;P-C--III-5;279
"";5134;P-C--IV-;280
"";5133;P-C--IV-;281
"";5125;P-C--III-3;282
"";5124;P-C--IV-;283
"";5123;P-C--IV-;284
"";5115;P-C--III-5;285
"";5114;P-C--IV-;286
"";5113;P-C--IV-;287
"";5105;P-C--III-2;288
"";5104;P-C--IV-;289
"";5103;P-C--IV-;290
"";509;P-C--III-5;291
"";506;P-C--III-1;292
"";505;P-C--III-1;293
"";501;P-C--III-1;294
"";500;P-C--III-1;295
"";499;P-C--II-;296
"";4935;A-B--III-1;297
"";4934;A-B--III-2;298
"";4933;A-B--III-2;299
"";490;A-B--III-1;300
"";485;P-C--VI-;301
"";480;A-B--VI-;302
"";479;P-B--IV-;303
"";477;P-C--V-6;304
"";476;P-C--V-6;305
"";4758;P-C--V-6;306
"";4752;P-C--V-5;307
"";4751;P-C--V-6;308
"";4750;P-C--V-6;309
"";474;A-A--VI-;310
"";472;A-B--III-6;311
"";471;A-B--III-6;312
"";4709;A-B--III-5;313
"";4708;A-B--III-6;314
"";4700;A-B--III-6;315
"";466;P-C--V-4;316
"";465;P-C--V-4;317
"";460;A-B--III-4;318
"";44;A-B--III-3;319
"";438;P-C--V-7;320
"";437;A-B--III-1;321
"";436;A-B--III-1;322
"";435;A-B--III-1;323
"";434;A-B--III-2;324
"";433;A-B--III-2;325
"";432;A-B--III-1;326
"";431;A-B--III-1;327
"";430;A-B--III-1;328
"";41;P-C--V-3;329
"";407;A-B--II-6;330
"";406;P-C--V-1;331
"";405;P-C--V-1;332
"";404;P-C--V-2;333
"";403;P-C--V-2;334
"";401;P-C--V-1;335
"";400;P-C--V-1;336
"";396;A-B--II-5;337
"";395;A-B--II-4;338
"";394;A-B--II-3;339
"";393;A-B--II-3;340
"";392;A-B--II-2;341
"";391;A-B--II-2;342
"";390;A-B--II-1;343
"";36;A-B--II-5;344
"";35;A-B--II-4;345
"";34;A-B--II-3;346
"";33;A-B--II-3;347
"";32;A-B--II-2;348
"";31;A-B--II-2;349
"";30;A-B--II-1;350
"";298;A-A--V-2;351
"";297;A-A--V-3;352
"";2955;A-A--V-2;353
"";2954;A-A--IV-2;354
"";2953;A-A--IV-2;355
"";2945;A-A--V-3;356
"";2944;A-A--IV-3;357
"";2943;A-A--IV-3;358
"";293;A-A--IV-1;359
"";2921;A-A--III-2;360
"";2920;A-A--III-1;361
"";2919;A-A--II-2;362
"";2918;A-A--II-2;363
"";2917;A-A--II-2;364
"";2916;A-A--II-2;365
"";2915;A-A--II-2;366
"";2914;A-A--II-2;367
"";2913;A-A--II-2;368
"";2912;A-A--II-2;369
"";2911;A-A--II-1;370
"";2910;A-A--II-1;371
"";2906;A-A--I-5;372
"";2905;A-A--I-6;373
"";2903;A-A--I-3;374
"";2902;A-A--I-2;375
"";2901;A-A--I-1;376
"";2900;A-A--I-1;377
"";282;A-A--III-2;378
"";2819;A-A--II-2;379
"";2818;A-A--II-2;380
"";2817;A-A--II-2;381
"";2816;A-A--II-2;382
"";2815;A-A--II-2;383
"";2814;A-A--II-2;384
"";2813;A-A--II-2;385
"";2812;A-A--II-2;386
"";2811;A-A--II-1;387
"";2806;A-A--I-5;388
"";2805;A-A--I-6;389
"";2803;A-A--I-3;390
"";2802;A-A--I-2;391
"";2801;A-A--I-1;392
"";26;A-A--V-5;393
"";259;A-A--V-1;394
"";258;A-A--V-5;395
"";255;A-A--V-4;396
"";254;A-A--V-2;397
"";253;A-A--V-2;398
"";252;A-A--V-2;399
"";251;A-A--V-3;400
"";250;A-A--V-1;401
"";2495;A-A--V-1;402
"";2494;A-A--IV-1;403
"";2493;A-A--IV-1;404
"";2425;A-A--V-2;405
"";2424;A-A--IV-2;406
"";2423;A-A--IV-2;407
"";2415;A-A--V-3;408
"";2414;A-A--IV-3;409
"";2413;A-A--IV-3;410
"";2405;A-A--V-1;411
"";2404;A-A--IV-1;412
"";2403;A-A--IV-1;413
"";23;A-A--II-3;414
"";221;A-A--III-2;415
"";220;A-A--III-1;416
"";219;A-A--II-2;417
"";218;A-A--II-2;418
"";217;A-A--II-2;419
"";216;A-A--II-2;420
"";215;A-A--II-2;421
"";214;A-A--II-2;422
"";213;A-A--II-2;423
"";212;A-A--II-2;424
"";211;A-A--II-1;425
"";210;A-A--II-1;426
"";209;A-A--I-6;427
"";206;A-A--I-5;428
"";205;A-A--I-6;429
"";204;A-A--I-4;430
"";203;A-A--I-3;431
"";202;A-A--I-2;432
"";201;A-A--I-1;433
"";200;A-A--I-1;434
"";194;P-C--III-5;435
"";192;P-C--III-5;436
"";190;P-C--III-5;437
"";189;P-B--II-5;438
"";185;P-B--II-5;439
"";181;P-B--V-;440
"";180;P-B--II-5;441
"";179;P-B--II-1;442
"";178;P-B--II-1;443
"";177;P-B--II-1;444
"";176;P-B--II-4;445
"";175;P-B--II-5;446
"";174;P-B--II-3;447
"";173;P-B--II-5;448
"";172;P-B--II-5;449
"";171;P-B--II-5;450
"";170;P-B--II-2;451
"";1635;P-B--II-5;452
"";1634;P-B--III-;453
"";1633;P-B--III-;454
"";1625;P-B--II-3;455
"";1624;P-B--III-;456
"";1623;P-B--III-;457
"";1615;P-B--II-5;458
"";1614;P-B--III-;459
"";1613;P-B--III-;460
"";1605;P-B--II-2;461
"";1604;P-B--III-;462
"";1603;P-B--III-;463
"";150;P-B--II-5;464
"";147;P-B--I-4;465
"";146;P-B--I-3;466
"";145;P-B--I-2;467
"";143;P-B--I-4;468
"";142;P-B--I-4;469
"";141;P-B--I-4;470
"";140;P-B--I-1;471
"";137;P-A-2-III-;472
"";136;P-A-2-I-;473
"";135;P-A-2-III-;474
"";1341;P-A-2-II-;475
"";1340;P-A-2-II-;476
"";133;P-A-2-I-;477
"";132;P-A-3--;478
"";131;P-A-3--;479
"";130;P-A-3--;480
"";129;P-A-1-VII-;481
"";121;P-A-1-V-2;482
"";120;P-A-1-V-1;483
"";119;P-A-1-III-2;484
"";118;P-A-1-VI-;485
"";115;P-A-1-III-2;486
"";1144;P-A-1-III-2;487
"";1143;P-A-1-III-2;488
"";1142;P-A-1-III-2;489
"";1141;P-A-1-III-1;490
"";1140;P-A-1-III-2;491
"";113;P-A-1-III-2;492
"";112;P-A-1-III-1;493
"";111;P-A-1-IX-;494
"";110;P-A-1-II-;495
"";109;P-A-1-IV-;496
"";108;P-A-1-IV-;497
"";1044;P-C--III-5;498
"";1040;P-A-1-I-2;499
"";1034;P-C--III-5;500
"";1030;P-A-1-I-2;501
"";102;P-A-1-I-1;502
"";101;P-A-1-I-1;503
"";100;P-A-1-I-1;504
